datetime,id,id_rem,stazione,lon,lat,quota,riscaldatore,alt_anemometro,alt_sensori,temp_val,temp_max,temp_min,rain,rain_day,rain_rate,rain_rate_max,slp,wind_speed,wind_gust,wind_gust_max,wind_dir,rel_hum,dewpoint,temp_wet_bulb,pm2_5,pm10,air_index,snow_height,radar,satellite,
2023-05-18 18,10,1,RE1347,Cerreto Laghi,10.2429,44.2967,1347,1,10,3,7.1,7.1,5.2,0,0,0,0,1015,NA,NA,NA,NA,99,7.2,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,4,RE0767,Carnola - C.Monti,10.401,44.4153,767,0,10,3,12.3,12.6,8.4,0,0.2,0.2,0.2,1015.5,4.8,4.8,19.3,116,84,9.4,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,7,RE0665,Felina,10.4585,44.4522,665,0,10,10,13.1,14.4,9.1,0,0,0,0,1014.9,0,0,20.9,165,80,9.4,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,8,RE0518,S. Giovanni,10.5611,44.5269,518,0,8,2,13.8,14.9,9.1,0,0,0,0,1018.4,0,0,17.7,213,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,9,RE0281,Colli Borzano,10.6222,44.5949,281,0,8,2,16.5,17.7,11.3,0,0,0,0,1017.2,1.6,6.4,25.7,150,71,11.1,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,10,RE0081,Arceto,10.7198,44.6197,81,0,10,10,18.4,18.9,11.6,0,10,10,10,1016.9,4.8,9.7,24.1,154,68,12.2,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,11,RE0051,Reggio Emilia,10.6219,44.7098,51,0,10,10,19.6,19.7,12.5,0,15,15,15,1014,1.6,8,22.5,59,61,11.7,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,12,RE0198,Quattro Castella,10.4456,44.6307,198,0,10,2,17.9,18.1,11.2,0,0.2,0.2,0.2,1016.8,3.2,9.7,25.7,53,60,10,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,13,RE0637,Camporella,10.2345,44.4214,637,0,10,2,13.4,14.3,9.1,0,0,0,0,1017.2,3.2,6.4,19.3,17,81,10,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,14,RE0030,Novellara,10.7232,44.843,30,0,10,9,20.5,20.6,11.7,0,0,0,0,1017.1,4.8,17.7,22.5,55,53,10.6,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,9,16,RE0842,Toano,10.5711,44.3752,842,1,10,2,11.6,11.8,7.9,0,2.8,2.8,2.8,1016.6,3.2,6.4,20.9,42,85,8.9,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,17,RE0022,Boretto,10.54347,44.90599,22,0,12,3,19.9,19.9,11.3,0,0,0,0,1013.9,9.7,17.7,25.7,120,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,18,RE0682,Casina,10.4931,44.525,682,0,3,2,12.3,13.6,8.8,0,0,0,0,1016,4.8,11.3,25.7,142,83,9.4,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,19,RE1330,Ventasso Laghi,10.2751,44.3857,1330,1,4,3,7.7,8,5,0,0,0,0,1015.2,1.6,6.4,25.7,28,94,6.7,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,11,20,RE0039,Gazzata,10.7793,44.7024,39,0,10,2,19.3,20.2,11.1,0,8,8,8,1015.3,4.8,6.4,24.1,80,68,13.3,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,21,RE0032,Bagnolo in Piano,10.66941,44.76264,32,0,10,10,19.6,19.8,12.1,0,0,0,0,1016.5,6.4,14.5,22.5,136,64,12.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,23,RE0088,Cavriago,10.513506,44.695149,88,0,10,10,19.1,19.3,11.9,0,0,0,0,1018.4,4.8,11.3,30.6,130,62,11.7,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,28,RE0678,Villa Minozzo,10.45992,44.36519,678,0,4,3,12.7,12.8,8.9,0,0,0,0,1017.1,3.2,8,14.5,70,79,8.9,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,10,15,RE1152,Febbio,10.428,44.297,1152,1,4,3,9.4,9.8,6.3,0,3.3,3.3,3.3,1016.6,0,0,9.7,97,89,7.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,14,27,RE1010,Oss. Cervarezza,10.3271,44.4017,1010,1,4,3,9.7,9.8,7.1,0,0.8,0.8,0.8,1017.3,5,11.9,34.2,87,88,7.8,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,16,6,RE2057,Monte Cusna,10.4016,44.2821,2057,0,7,6,1.9,2.1,-0.8,NA,NA,NA,NA,1017.1,0,0,0,0,98,1.6,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,18,31,RE0438,Canossa e Rossena,10.32667,44.43861,438,0,2,2,15.4,15.6,10.6,0,0,0,0,1016.6,11.2,16.2,29,75,73,10.6,NA,NA,NA,NA,NA,NA,NA
2023-05-18 18,18,30,RE0965,Civago,10.4752,44.2516,965,1,5,5,10.1,10.2,7.1,0,7,7,7,1018.2,0,1.8,11.9,86,91,8.7,NA,NA,NA,NA,NA,NA,NA
